vocabulary,ch_meaning,en_meaning,equation_1,equation_2,list,id
abet,v.鼓励,encourage,abet = assist + encourage,abet = support + facilitate,list1,41
acclimate,vt.使适应,to change to make it suitable,acclimate = adjust + adapt,acclimate = get used to + familiarize,list3,42
abrade,v.磨损，精神上折磨,wear away by friction,abrade = scrape + erode,abrade = wear down + chafe,list3,43
aggravate,vt.加重，恶化,"worse, serious, severe",aggravate = exacerbate + situation,aggravate = make + worse,list5,44
affluent,adj.富裕的,sufficient,affluent = rich + abundant,affluent = wealthy + plentiful,list8,45
advocate,vt.支持，提倡,support,advocate = supporter + cause,advocate = endorse + argue for,list9,46
accentuate,v.强调,noticeable,accentuate = emphasize + highlight,accentuate = stress + bring out,list9,47
allure,vt.吸引,attract or delight,allure = attraction + mystery,allure = charm + fascination,list10,48
abiding,adj.持久的,enduring,abiding = lasting + enduring,abiding = permanent + unwavering,list11,49
adjourn,vi.延期，休会,suspend,adjourn = postpone + suspend,adjourn = recess + defer,list12,50
ad hoc,adj.专门的,particular end,ad hoc = specific purpose + necessity,ad hoc = temporary + purpose-driven,list13,51
abuse,v.辱骂，抨击；v.不正当或不合理使用,1. condemn or villify; 2. wrong or improper use,abuse = misuse + harm,abuse = cruel treatment + repeated,list15,52
agonize,vt.折磨，使痛苦,agony,agonize = suffer + mental anguish,agonize = worry intensely + pain,list16,53
absurd,adj.不合理的,unreasonable,absurd = unreasonable + illogical,absurd = ridiculous + irrational,list18,54
abash,v.使尴尬，使羞愧,embarrass,abash = embarrass + disconcert,abash = humiliate + shame,list18,55
abandon,v./n.放纵；v.放弃,1. freedom from constraint; 2. withdraw,abandon = give up + completely,abandon = leave + desert,list21,56
airtight,adj.无瑕疵的,no flaw,airtight = sealed + impermeable,airtight = perfect + indisputable,list21,58
acerbic,adj.(心情、心境或者语调)尖酸的,cause hurt feeling,acerbic = sharp + direct,acerbic = harsh + blunt,list21,59
abase,v.降低(地位、职位、威望或尊严),lower,abase = humiliate + degrade,abase = belittle + lower,list22,60
adore,vt.喜爱，因…感到愉悦；vt.宠爱,1. pleasure; 2. tenderness,adore = love + deep respect,adore = admire + cherish,list22,61
agog,adj.极度感兴趣的,urgent desire or interest,agog = eager + excited,agog = enthusiastic + anticipating,list22,62
adjunct,n.附属物，非必须部分,not essentially a part,adjunct = addition + supplement,adjunct = accessory + non-essential,list23,63
abstract,vt.做总结，概括；vt.使分心,1. summarize; 2. away attention,abstract = conceptual + intangible,abstract = idea + non-concrete,list24,64
abridge,v.缩短，缩小,shorten,abridge = shorten + retain meaning,abridge = condense + maintain essence,list24,65
allude,vi.间接提到,indirectly,allude = hint + suggest,allude = imply + refer,list24,66
abhor,v.深恶痛绝，极度厌恶,extreme repugnance,abhor = hate + disgust,abhor = strong dislike × intensity,list25,67
allay,vt.减轻,reduce intensity,allay = reduce + fear,allay = calm + worry,list25,68
acme,n.顶点，极点,highest,acme = peak + perfection,acme = pinnacle + best,list26,69
ambrosial,adj.(食物)特别美味的；香的,extremely pleasing,,,,70
abstain,v.自我克制，主动戒绝,refrain by one's own choice,abstain = refrain + temptation,abstain = avoid + indulgence,list21,57
abscond,v.偷偷离开,depart secretly,abscond = escape + secretly,abscond = flee + avoid detection,list28,6
absolve,v.使无罪，解除责任,"free from guilt, exculpate",absolve = forgive + free,absolve = clear + responsibility,list28,7
abeyance,n.中止，搁置,inactivity,abeyance = suspension + temporary,abeyance = inactivity + pause,list28,2
aloof,adj.高冷的,distant,aloof = distant + unfriendly,aloof = detached + reserved,list29,35
accolade,n.同意，赞赏；v.赞扬,1. approval; 2. praise,accolade = praise + commendation,accolade = award + honor,list29,13
amenity,n.(环境、设备等的)舒适，人性化；n.融洽，和谐,1. comfort; 2. pleasant or agreeable,,,,71
amity,n.友好关系，亲善和睦,friendship,,,,72
anarchist,n.反抗权威的人,rebel against any authority,,,,73
anemic,adj.缺乏力量、活力、精神的,lacking force,,,,74
anesthetic,adj.无感觉的，麻木的,lacking awareness,,,,75
annoy,vt.不断烦扰,disturb by repeated acts,,,,77
anomalous,adj.不普通的，不平常的,out of ordinary,,,,78
antagonize,vt.与…敌对，反对；vt.激怒,1. opposition; 2. incur hostility,,,,80
anterior,adj.前面的,before,,,,81
antic,adj.滑稽可笑的,clownish,,,,82
apocalyptic,adj.预言的，启示的；adj.重要的，转折点的,1. prophetic; 2. major turning,,,,83
apoplectic,adj.极度愤怒的,extremely angry,,,,84
apostasy,n.背叛,abandonment of loyalty,,,,85
appall,vt.使惊恐,consternation,,,,86
appealing,adj.吸引人的,"attractive, inviting",,,,87
applause,n.鼓掌；认可,approval,,,,88
appreciable,adj.可感知的，明显的,perceptible,,,,89
apprehension,n.忧虑，恐惧；n.理解,1. suspicion or fear; 2. understand,,,,90
apprise,v.通知，告知,inform,,,,91
archetype,n.典范，榜样,ideal example,,,,92
ardor,n.狂热,strong enthusiasm or devotion,,,,93
arresting,adj.吸引人的,attracting,,,,94
arrhythmic,adj.不规律的,lacking regularity,,,,95
arrogance,n．傲慢，自大,overbearing pride,,,,96
aseptic,adj.消毒的，无菌的,preventing infection,,,,97
askew,adj./adv.不成直线的(地)，歪的(地),awry,,,,98
aspect,n.外表，容貌,appearance,,,,99
aspirant,n.有抱负者，有野心者,aspire,,,,100
assertive,adj.自信的,self-assured,,,,101
assess,v.评估(重要性、尺寸、价值等)；v.征收费用(如罚款),1. determine value; 2. charge penalty,,,,102
asylum,n.收容所，保护所,protection,,,,103
asymmetrical,adj.不平衡的，不对称的,no balance,,,,104
atone,v.赎罪，弥补,amend,,,,105
atrocious,adj.极坏的，极其残忍的,extremely wicked,,,,106
authentic,adj.真实的，非仿造的,exactly,,,,107
authority,n.(某领域的)权威人士；n.管辖权，控制,1. a high level of knowledge; 2. lawful control,,,,108
autocracy,n.独裁政府,government with unlimited power,,,,109
avarice,n.贪财，贪婪,insatiable,,,,110
averse,adj.反对的,dislike,,,,111
babble,v.发出含糊无意义的嘟囔声，胡乱说,utter meaningless,,,,113
approbation,n.同意,approval,approbation = approval + praise,approbation = endorsement + acclaim,list2,114
anathema,n.令人讨厌的事物,hated,anathema = hated + despised,anathema = abomination + detested,list3,115
apt,adj.恰当的，合适的；adj.聪明的,1. suitable; 2. intelligent and responsive,apt = suitable + appropriate,apt = fitting + proper,list4,116
assuage,vt.缓和，减轻,lessen intensity,assuage = alleviate + ease,assuage = reduce + soothe,list4,117
awry,adj./adv.出差错的(地),off course,awry = not functioning + correctly,awry = amiss + askew,list5,118
ameliorate,vt.改善，改进,become better; improve,ameliorate = improve + situation,ameliorate = enhance + condition,list6,119
asunder,adv.分离地,apart,asunder = apart + pieces,asunder = separate + fragments,list6,120
aspersion,n.诽谤，中伤,harm reputation,aspersion = attack + reputation,aspersion = insult + integrity,list7,121
amiable,adj.好脾气的，友好易相处的,friendly,amiable = friendly + pleasant,amiable = affable + likeable,list8,122
appropriate,v.私自挪用；adj.适当的,1. take possession without permission; 2. suitable,appropriate = suitable + proper,appropriate = take + without permission,list9,123
articulate,v.清晰地表达；adj.表达清晰的,1. clearly distinctly; 2. able to express clearly,articulate = fluent + coherent,articulate = expressive + clear,list10,124
annul,vt.宣告无效，取消,legally invalid,annul = invalidate + nullify,annul = abolish + erase,list11,125
anodyne,adj.无害的,not causing hurt,anodyne = pain reliever + analgesic,anodyne = inoffensive + bland,list12,126
asperity,n.(举止、性情)粗暴；n.(环境)艰苦,"1. roughness; 2. rigor, severity",asperity = harshness + tone,asperity = severity + manner,list14,127
avid,adj.急切渴望的,enthusiasm,avid = enthusiastic + eager,avid = keen + passionate,list14,128
awash,adj.(如洪水般)泛滥的,"filled, covered overrun",awash = flooded + water-covered,awash = filled + abundant,list16,129
apathy,n.缺乏兴趣，不关心,lack interest or concern,apathy = interest - emotion,apathy = indifference + lack of care,list17,130
amenable,adj.顺从的，服从的,"yield, submit",amenable = agreeable + open to suggestion,amenable = willing + compliant,list17,131
apocryphal,adj.假的,doubtful authenticity,apocryphal = doubtful + widely believed,apocryphal = questionable + popular,list17,132
amorphous,adj.无固定形状的,shapeless,amorphous = shapeless + formless,amorphous = undefined + structureless,list19,133
attenuate,v.降低(数量、力量、价值),lessen,attenuate = weaken + diminish,attenuate = reduce + thin,list19,134
awe,n./v.敬畏,"dread, veneration and wonder",awe = respect + fear,awe = wonder + reverence,list21,135
assert,vt.断言，肯定地说出,declare forcefully,assert = state + confidently,assert = claim + strongly,list21,136
arduous,adj.难以做到的，费劲的,difficult,arduous = difficult + strenuous effort,arduous = challenging + exhausting,list22,137
augur,n.预言家/vt.预言,tell beforehand,augur = soothsayer + prophet,augur = seer + forecaster,list22,138
axiomatic,adj.不言自明的,self-evident,axiomatic = self-evident + unquestionable,axiomatic = obvious + accepted,list26,139
badinage,n.打趣，善意的玩笑,banter,,,,140
bait,vt.引诱；n.诱饵,1. lead away; 2. something luring,,,,141
animus,n.敌意,spiteful malevolent enmity,animus = hostility + ill will,animus = enmity + antagonism,list29,76
bale,n.痛苦，悲哀,sorrow,,,,142
balky,adj.不服管束的，倔强的,refusing,,,,143
balderdash,n.胡言乱语，废话，无意义的话,n.having no meaning,,,,144
balm,n.香油，止痛膏；安慰物,soothe,,,,145
bane,n.有害的物质,kill or injure a living thing,,,,147
barb,n.尖锐而严厉的批评,a critical remark,,,,148
barbarous,adj.野蛮的,mercilessly harsh,,,,149
barefaced,adj.公然的,brazen,,,,150
bargain,n.协议；v.讨价还价,1. an agreement; 2. negotiate,,,,151
barrage,n.有压倒之势的言语,an overwhelming outpouring,,,,152
barricade,n.障碍物；v.用障碍物阻止通过,1. an obstruction; 2. prevent access,,,,153
barter,v.以物换物,trade without money,,,,154
bedeck,v.装饰，点缀,make more attractive,,,,155
belabor,v.严厉批评；v.喋喋不休,1. criticize; 2. explain excessively,,,,156
bellwether,n.领导者，带头人,one that takes the lead,,,,157
beneficent,adj.仁慈的，好慈善的；adj.(对个人或社会)有益的,1. charitable; 2. contributing to social well-being,,,,158
beseech,v.(急切地)恳求,beg,,,,160
bigot,n.固执己见者，有偏见的人,a person obstinately devoted to his own opinions,,,,162
blandishment,n.甜言蜜语，讨好某人的话,something that tends to coax or cajole,,,,163
blasé,adj.(过度放纵之后)厌倦享乐的，腻烦的,apathetic,,,,164
blast,n.爆炸；v.炸裂，爆破；v.斥责，抨击,1. an explosion; 2. cause to break open; 3. criticize harshly,,,,165
blazon,v.使知名；v.修饰，装扮,1. make known openly; 2. make more attractive;,,,,166
blight,v.(使)枯萎；v.损害,1. affect with blight; 2. impair,,,,167
bliss,n.极度快乐,ecstasy,,,,168
blueprint,v.事先计划,work out in advance,,,,169
blunder,n.过失；v.犯错误,1. an error; 2. make a mistake,,,,170
blurt,v.突然说出,utter abruptly,,,,171
boggle,v.(因为怀疑、恐惧)犹豫,hesitate,,,,172
bombast,n.夸大的言辞,pompous speech,,,,173
boorish,adj.粗鲁无礼的,impolite,,,,175
bound,n.界限；adj.投入的，坚定的,1. a limit; 2. fully committed,,,,176
bracing,adj.令人振奋的，给人带来活力的,giving strength,,,,177
brassy,adj.厚脸皮的，不知羞耻的,displaying rude boldness,,,,178
bravura,adj./n.优秀演技(的),brilliant technique in performance,,,,179
breach,v.违背,fail to keep,,,,180
bribe,v.贿赂，收买,give money to a person to influence his conduct,,,,182
broach,v.提出讨论,present for discussion,,,,183
browbeat,v.恐吓,intimidate,,,,184
bruit,v.(未经证实地)散播(消息),make the subject of common talk without authority,,,,185
budge,v.停止抵抗，屈服,cease resistance,,,,186
bulge,n.凸起,a protuberant,,,,187
bully,n.欺凌弱小者,a person who treats others in an intimidating manner,,,,188
bumptious,adj.专横傲慢的，自以为是的,having a feeling of supreority,,,,189
boon,n.恩惠，福利,benefit,boon = benefit + blessing,boon = advantage + gift,list3,190
boo,n./v.嘘(以表示不满或嘲笑),a sound uttered to show contempt,boo = disapproval + exclamation,boo = contempt + shout,list6,191
bootless,adj.无用的,useless,bootless = useless + ineffective,bootless = futile + unproductive,list7,192
blatant,adj.(让人生厌地)惹人注目的,noticeable,blatant = transparent + overt,blatant = obvious + unashamed,list9,193
bolster,n./v.支撑(物)；v.鼓励，使有精力,1. provide support; 2. give a boost to,bolster = support + strengthen,bolster = reinforce + aid,list10,194
bridle,v.限制,keep from exceeding,bridle = restrain + control,bridle = limit + curb,list10,195
badger,vt.不断纠缠或骚扰,harass persistently,badger = nag + persistently,badger = harass + repeatedly,list10,196
boisterous,adj.喧嚷的，吵闹的,noisily turbulent,boisterous = noisy + energetic,boisterous = cheerful + rowdy,list11,197
baroque,adj.复杂，装饰华丽的,"complex, flamboyant",baroque = complex + detailed,baroque = elaborate + complicated,list19,198
balloon,v.迅速增加,increase,balloon = flexible bag + inflate,balloon = increase + rapidly,list11,199
bungle,v.办糟，失败,work clumsily,bungle = mishandle + fail,bungle = blunder + failure,list20,200
barren,adj.无效的；adj.贫瘠的,1. unproductive; 2. deficient,barren = infertile + unproductive,barren = desolate + arid,list20,201
brake,v.刹车,proceed at a less rapid pace,brake = vehicle stopper + slowdown device,brake = decelerator + safety mechanism,list21,202
benign,adj.无害的,not causing hurt,benign = kind + gentle,benign = benevolent + mild,list22,203
boycott,vt.联合抵制，拒绝参与,engage in a concerted refusal,boycott = protest + non-participation,boycott = collective refusal + opposition,list22,204
beguile,v.欺骗,believe what is untrue,beguile = deceive + charm,beguile = enchant + mislead,list22,205
brisk,adj.充满生机的，有活力的,marked by much life or activity,brisk = energetic + fast,brisk = lively + quick,list24,206
buck,v.阻止，反对,refuse assent,buck = resist + oppose,buck = defy + challenge,list24,207
brook,v.忍受，容许,tolerate,brook = tolerate + allow,brook = endure + accept,list24,208
baleful,adj.有害的,harmful,baleful = harmful + menacing,baleful = threatening + malevolent,list24,209
beleaguer,v.使困扰，使烦恼，使消沉,trouble,beleaguer = besiege + surround,beleaguer = encircle + attack,list25,210
brazen,adj.蛮横大胆的，厚颜无耻的；v.大胆自信地去面对或从事,1. contemptuously bold; 2. face with self-assurance,brazen = bold + shameless,brazen = audacious + unembarrassed,list25,211
bland,adj.无趣的,dull,bland = dull + unexciting,bland = mild + plain,list27,212
buoyant,adj.心情好的,showing a good mood,,,,213
berate,v.(长时间)严厉指责,scold vehemently,berate = scold + criticize,berate = reprimand + anger,list29,159
bonhomie,n.温和，和蔼,geniality,bonhomie = friendliness + cheerfulness,bonhomie = geniality + warmth,list29,174
burnish,v.擦亮，磨光,make smooth or glossy,,,,214
calcify,v.使僵化,make inflexible or unchangeable,,,,217
calligraphy,n.(优美的)书法,elegant handwriting,,,,218
calumniate,v.诽谤，造谣，中伤,utter false statements,,,,219
catharsis,n.情绪的宣泄、释放,elimination of a complex,,,,220
candor,n.坦白，直率，诚挚,honest expression,,,,221
canon,n.准则，标准；n.真经，正典,1. a standard or criterion; 2. the authentic works of a writer,,,,222
canvass,v.仔细检查，详尽讨论；v.游说，去(一个地区)的各处或找到(个人)来拉选票或订单,1. examine carefully; 2. solicit votes or orders,,,,223
caprice,n.反复无常，善变,change one's mind impulsively,,,,224
careworn,adj.忧心忡忡的，焦虑的,showing grief,,,,225
carnal,adj.肉体的，物质的；adj.世俗的,1. relating to the physical; 2. worldly,,,,226
carouse,v.畅饮，狂饮作乐,drink liquor freely,,,,227
carp,v.对小事吹毛求疵，挑剔，表现不满,bound by very close association,,,,228
cast,v.提出；v.抛弃,1. put forth; 2. get rid off,,,,230
catalyze,vt.成为…的导火索，导致,be the cause of,,,,231
categorical,adj.没有例外的；绝对的,absolute,,,,232
caveat,n.警告，告诫,a warning of a specific limitation,,,,233
cataclysmal,adj.灾难性的,bringing about ruin,,,,234
cessation,n.终止，暂停,the stopping of a process,,,,236
chaff,v.开玩笑,make jokes,,,,237
chameleon,n.变色龙，善变的人,a person who changes opinions,,,,238
compulsive,adj.不能自拔的,caused by an irrisistible urge,,,,239
chase,v.驱赶,force out,,,,240
chasm,n.分歧，(意见、利益或忠诚上的)明显差异,a pronounced difference,,,,241
chauvinistic,adj.盲目爱国的,showing excessive favorism,,,,242
cherubic,adj.天使般可爱的,chubby and rosy,,,,243
chide,v.责备,scold mildly,,,,244
chord,v.与…和谐一致；符合,agree,,,,245
chromatic,adj.彩色的,relating to color,,,,246
chronic,adj.经常发生的，复发的,marked by frequent recurrence,,,,247
cipher,n.密码,a method of transforming a text to conceal its meaning,,,,248
chokehold,n.压制,a force that stops something from growing,,,,251
clarion,adj.清楚响亮的,loud and clear,,,,252
clarity,n.清晰，清楚,lucidity,,,,253
clasp,n./v.紧握,the act of holding,,,,254
clement,adj.宽容的，善良的；adj.气候温和的,1. tolerant and kind; 2. marked by temperatures that are neither too high nor too low,,,,255
cliché,n./adj.陈词滥调(的),a hackneyed theme,,,,256
chagrin,n.(因为失败、出糗而导致的)不安，焦虑,distress of mind,chagrin = distress + embarrassment,chagrin = humiliation + disappointment,list2,257
callow,adj.不老练的，不成熟的,lacking in adult experience,callow = inexperienced + immature,callow = naive + unseasoned,list2,258
chary,adj.非常谨慎的,cautious,chary = cautious + wary,chary = hesitant + careful,list6,259
charlatan,n.骗子，装懂的人,a person who makes fraudulent,charlatan = impostor + knowledge,charlatan = fraud + pretender,list6,260
circumscribe,vt.限制,restrict,circumscribe = restrict + boundaries,circumscribe = limit + define,list8,262
byzantine,adj.错综复杂的,complicated or secretive,byzantine = intricate complexity + deviousness,byzantine = elaborate + bureaucratic,list8,263
cajole,v.哄骗,wheedle,cajole = persuade + coax,cajole = wheedle + sweet-talk,list9,264
canard,n.谣传，误传,a deliberately misleading story,canard = false rumor + misinformation,canard = deception + fabricated story,list10,265
censor,vt.审查并删除不良的东西,examine or delete,censor = examine + suppress,censor = redact + restrict,list11,266
clandestine,adj.隐藏的，秘密的,kept in secret,clandestine = secret + covert,clandestine = hidden + underground,list12,267
circumspect,adj.谨慎的，小心的,prudent,circumspect = cautious + prudent,circumspect = vigilant + guarded,list12,268
cement,n./v.粘合，粘合剂,a uniting or binding force,cement = binder + construction,cement = hardening agent + building,list13,269
caustic,adj.挖苦讽刺的，刻薄的,marked by incisive sarcasm,caustic = sarcastic + bitter,caustic = scathing + sharp,list13,270
cachet,n.同意；n.声望,1. an approval; 2. prestige,cachet = prestige + respect,cachet = distinction + status,list13,271
chicanery,n．诡计多端，欺骗,deception,chicanery = trickery + deception,chicanery = fraud + manipulation,list15,272
calibrate,v.校准，调校,standardize,calibrate = fine-tune + measure,calibrate = assess + adjust,list16,273
burlesque,n./v.夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞,make fun of,burlesque = satire + exaggeration,burlesque = comic imitation + ridicule,list16,274
buoy,v.使充满勇气和力量，使振作,fill with courage or strength,buoy = cheer + encourage,buoy = boost + spirits,list18,275
castigate,vt.强烈(公开)指责,criticize harshly and publicly,castigate = criticize + punish,castigate = rebuke + discipline,list19,276
capitulate,v.投降，默许,give up all resistance,capitulate = surrender + yield,capitulate = give up + concede,list21,277
catastrophe,n.大灾难；n.彻底的失败,1. a tragedy; 2. utter failure,catastrophe = disaster + severe damage,catastrophe = calamity + major crisis,list21,278
circumvent,v.躲避，不遵从,avoid having to comply with,circumvent = avoid + bypass,circumvent = navigate + escape,list24,279
cavil,v.挑剔，吹毛求疵,quibble,cavil = complain + trivial,cavil = objection - importance,list27,280
clout,n.权力，影响力,influence,,,,281
buttress,vt.为…提供支撑的证据或者信息,provide evidence or information for,buttress = strengthen + support,buttress = bolster + reinforce,list28,215
cede,vt.(根据条约)放弃，割让,surrender possession of,cede = relinquish + territory,cede = surrender + power,list28,235
civility,n.彬彬有礼,politeness,civility = etiquette + decorum,civility = propriety + graciousness,list29,250
cache,n.囤货，藏货,a supply,cache = hidden items + storage,cache = hidden items + storage,list30,216
coda,n.终曲,the concluding passage,,,,283
coeval,adj.同时代的，同龄的,of the same age,,,,284
cogent,adj.令人信服的；adj.相关的,1. convincing; 2. pertinent,,,,285
collapse,v./n.失败,be unsuccessful,,,,286
coltish,adj.爱开玩笑的,given to good-natured joking,,,,287
coma,n.昏迷，深度无知觉,a state of profound unconsciousness,,,,288
combustible,adj.可燃的；adj.容易激动的,1. capable of igniting; 2. easily excited,,,,289
commencement,n.开始；n.毕业典礼,1. a start; 2. the ceremonies for conferring degrees,,,,290
commend,vt.赞扬,praise,,,,291
commingle,v.充分混合,blend thoroughly,,,,292
commitment,n.致力，投入；n.承诺，表态,1. a state of being obligated; 2. the act of revealing one's view of,,,,293
committed,adj.忠诚的，忠实的,loyal,,,,294
commonsensical,adj.符合常识的，有依据的,displaying common sense,,,,296
complacency,n.自满，无忧患意识,a feeling of self-satisfaction,,,,297
complaisance,n.愿意顺从，讨好，彬彬有礼,"disposition to comply, affability",,,,298
compliment,n./vt.称赞，恭维；n.敬意，免费赠送的礼物,1. praise; 2. honor,,,,299
compose,v.组成，构成；v.使镇定,1. constitute; 2. calm,,,,300
concatenate,v.连结，混合,bring together,,,,301
concentrate,v.聚集；v.浓缩,1. come together; 2. make less dilute,,,,302
concerted,adj.共同完成的,planned or accomplished together,,,,303
conciliate,v.平息，抚慰,lessen the anger,,,,304
condole,v.表达同情,express sympathetic sorrow,,,,305
conducive,adj.有益的，有促进作用的,promote or assist,,,,306
congeal,v.凝固，固化,change from a fluid to a soid state,,,,307
connive,v.暗中合作，共谋,cooperate secretly,,,,308
consequence,n.结果；n.重要性，价值,1. something produced by a cause; 2. importance,,,,309
conservative,adj.守旧的，不愿改变的；adj.不招摇的，低调的,1. tending to oppose change; 2. not excessively showy,,,,310
conservatory,n.温室；n.艺术学院,1. a greenhouse; 2. a school specializing in fine arts,,,,311
console,v.安慰，藉慰,"alleviate the grief, comfort",,,,312
constringe,v.使紧缩,draw together,,,,313
construct,v.建造，建立；v.创造，想出,1. appoint to an office; 2. make up,,,,314
commonplace,adj./n.司空见惯的(事物),heard so often as to be dull,commonplace = ordinary + usual,commonplace = typical + routine,list2,315
compress,v.压缩(体积),reduce in size or volumn,compress = squeeze + compact,compress = abridge + shorten,list4,316
concoct,v.捏造，编造,invent to deceive someone,concoct = combine + ingredients,concoct = invent + fabricate,list5,317
cloying,adj.甜得发腻的；感情用事的,excessively sweet,cloying = overly + rich,cloying = excessive + sweetness,list6,318
cantankerous,adj.脾气不好的,showing a bad temper,cantankerous = bad-tempered + argumentative,cantankerous = cranky + quarrelsome,list7,319
condign,adj.应得的，恰当的,deserved,condign = deserved + appropriate,condign = fitting + just,list8,320
compliant,adj.顺从的,submissive,compliant = agreeable + conforming,compliant = obedient + accommodating,list9,321
compendium,n.摘要,"a brief summary, abstract",compendium = collection + summary,compendium = synopsis + abridgment,list12,322
conspire,v.合谋，密谋,plan secretly,conspire = collude + plan illegally,conspire = cooperate + act together,list11,323
collude,v.串通，共谋(做坏事),act together secretly,collude = conspire + secret agreement,collude = plot + cooperate illegally,list13,324
coerce,vt.(以武力)强制,achieve by force,coerce = force + persuade,coerce = threaten + compel,list14,325
cognizant,adj.知道的，意识到的,aware,cognizant = knowledgeable + aware,cognizant = informed + conscious,list15,326
cluster,n.一群人,small number of persons,cluster = group + close proximity,cluster = collection + together,list15,327
condescending,adj.摆出高人一等的姿态的,displaying a superior attitude,condescending = patronizing + superior,condescending = disdainful + arrogant,list16,328
constrain,v.限制,force by imposed restriction,constrain = limit + restrict,constrain = compel + force,list17,329
confluence,n.汇合，混合,come together to the same point,confluence = river junction + meeting point,confluence = convergence + waterway union,list18,330
commotion,n.骚乱,an agitated disturbance,commotion = chaos + noise,commotion = uproar + turmoil,list19,331
clownish,adj.滑稽可笑的,acting in a funny way,clownish = silly + comical,clownish = foolish + amusing,list21,332
conceal,v.隐藏，隐瞒,prevent disclosure,conceal = hide + keep out of sight,conceal = cover + obscure,list21,333
colossal,adj.巨大的,immense,colossal = huge + immense,colossal = massive + enormous,list21,334
coagulate,v.(使)凝结，(使)变稠,clot,coagulate = liquid + solidify,coagulate = thicken + clot,list22,335
consilience,n.融合,linking together,consilience = unity + agreement,consilience = convergence + harmony,list22,336
consensus,n.一致同意,general agreement,consensus = agreement + group,consensus = collective opinion + harmony,list23,337
consolidate,v.加固，使安全,make firm,consolidate = strengthen + solidify,consolidate = reinforce + stabilize,list24,338
coalesce,v.合并，融合,fuse,coalesce = unite + merge,coalesce = combine + integrate,list24,339
consonant,adj.和谐一致的,being in agreement,consonant = agreeing + harmonious,consonant = consistent + accordant,list25,340
compromise,v.妥协；v.使危险,1. settle by mutual concessions; 2. place in danger,compromise = agreement + concessions,compromise = settlement + middle ground,list25,341
contagious,adj.传染的；adj.(情绪等)唤起共鸣的,1. communicable by contact; 2. exciting a similar feeling,contagious = infectious + transmittable,contagious = communicable + spreadable,list26,342
clumsy,adj.笨拙的,lacking nimbleness,clumsy = awkward + ungainly,clumsy = uncoordinated + inept,list27,343
content,v.使满足；n.内容，内涵,1. appease the desire of; 2. the idea that is conveyed through various ways,,,,344
contort,v.扭曲,twist,,,,345
convalesce,v.渐渐康复，渐愈,recover gradually,,,,346
convention,n.常规，习俗；n.大会，集会,1. general agreement; 2. a coming together,,,,347
convoke,v.召集开会,bring together,,,,349
coop,v.监禁，困于…之中,confine,,,,350
coquette,v.调情，不认真对待,flirt,,,,351
countervail,v.抗衡，抵消,exert force against,,,,352
cornucopia,n.大量,an overflowing store,,,,353
coronation,n.加冕，加冕礼,the act of crowning a sovereign,,,,354
corrugated,adj.褶皱的,shaped into a series of folds,,,,356
covetous,adj.贪婪的，渴求财富的,marked by inordinate desire,,,,357
cozen,v.诱骗,mislead by fraud,,,,358
cramped,n.狭小的，狭窄的,uncomfortably small or restricted,,,,359
craven,adj.非常懦弱的，因胆小而遭人鄙视的,lacking courage,,,,360
contingency,n.可能发生的事,something that might happen,,,,361
credence,n.坚信,firm belief,,,,362
creep,vi./n.缓慢地行进,slowly,,,,363
